Grade Distribution By Course,,,
,,,
College of Agriculture,,,
Agricultural Education,,,
,,,
Course: AED 553  Student Total: 11  Credit Hours: 3  Grade Pts: 101.1  GPA Hours: 30  GPA: 3.37,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 18.18
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 18.18
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 27.27
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 18.18
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 9.09
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 9.09
,,,
Course: AED 555  Student Total: 10  Credit Hours: 3  Grade Pts: 115.5  GPA Hours: 30  GPA: 3.85,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 50
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 50
,,,
Course: AED 557  Student Total: 11  Credit Hours: 3  Grade Pts: 113.4  GPA Hours: 30  GPA: 3.78,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 45.45
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 36.36
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 9.09
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 9.09
,,,
Course: AG 111  Student Total: 51  Credit Hours: 3  Grade Pts: 447  GPA Hours: 138  GPA: 3.24,,,
Grade: A,  Credits: 3,  Student Count: 20,  Pct: 39.22
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 13.73
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 7.84
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 9.8
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 7.84
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 9.8
,,,
Course: AG 199  Student Total: 31  Credit Hours: Variable  Grade Pts: 102.2  GPA Hours: 29  GPA: 3.52,,,
Grade: A,  Credits: 1,  Student Count: 17,  Pct: 54.84
Grade: A-,  Credits: 1,  Student Count: 7,  Pct: 22.58
Grade: B+,  Credits: 1,  Student Count: 2,  Pct: 6.45
Grade: C-,  Credits: 1,  Student Count: 1,  Pct: 3.23
Grade: F,  Credits: 1,  Student Count: 2,  Pct: 6.45
Grade: W,  Credits: 1,  Student Count: 2,  Pct: 6.45
,,,
Course: AG 301  Student Total: 131  Credit Hours: 3  Grade Pts: 1342.2  GPA Hours: 384  GPA: 3.5,,,
Grade: A,  Credits: 3,  Student Count: 63,  Pct: 48.09
Grade: A-,  Credits: 3,  Student Count: 24,  Pct: 18.32
Grade: B,  Credits: 3,  Student Count: 13,  Pct: 9.92
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 6.11
Grade: B-,  Credits: 3,  Student Count: 8,  Pct: 6.11
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 3.82
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 2.29
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: .76
Grade: D,  Credits: 3,  Student Count: 1,  Pct: .76
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 1.53
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: .76
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 1.53
,,,
Course: AG 311  Student Total: 65  Credit Hours: 3  Grade Pts: 440.4  GPA Hours: 168  GPA: 2.62,,,
