Grade Distribution By Course,,,
,,,
College of Ag,,,
Agricultural Education,,,
,,,
Course: AG 111  Student Total: 38  Credit Hours: 3  Grade Pts: 329.4  GPA Hours: 105  GPA: 3.14,,,
Grade: A,  Credits: 3,  Student Count: 16,  Pct: 42.11
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 13.16
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 5.26
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 7.89
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 5.26
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 10.53
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 7.89
,,,
Course: AG 230  Student Total: 19  Credit Hours: 3  Grade Pts: 166.5  GPA Hours: 51  GPA: 3.26,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 42.11
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 21.05
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 10.53
,,,
Course: AG 301  Student Total: 124  Credit Hours: 3  Grade Pts: 1248.6  GPA Hours: 351  GPA: 3.56,,,
Grade: A,  Credits: 3,  Student Count: 68,  Pct: 54.84
Grade: A-,  Credits: 3,  Student Count: 18,  Pct: 14.52
Grade: B,  Credits: 3,  Student Count: 9,  Pct: 7.26
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 5.65
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 3.23
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 3.23
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.61
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 1.61
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: .81
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 1.61
Grade: S,  Credits: 3,  Student Count: 6,  Pct: 4.84
Grade: W,  Credits: 3,  Student Count: 1,  Pct: .81
,,,
Course: AG 311  Student Total: 157  Credit Hours: 3  Grade Pts: 1361.1  GPA Hours: 420  GPA: 3.24,,,
Grade: A,  Credits: 3,  Student Count: 62,  Pct: 39.49
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 7.01
Grade: B,  Credits: 3,  Student Count: 13,  Pct: 8.28
Grade: B+,  Credits: 3,  Student Count: 12,  Pct: 7.64
Grade: B-,  Credits: 3,  Student Count: 14,  Pct: 8.92
Grade: C,  Credits: 3,  Student Count: 13,  Pct: 8.28
Grade: C+,  Credits: 3,  Student Count: 6,  Pct: 3.82
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 2.55
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 1.27
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 1.91
Grade: I/D,  Credits: 3,  Student Count: 1,  Pct: .64
Grade: S,  Credits: 3,  Student Count: 9,  Pct: 5.73
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 4.46
,,,
Course: AG 351  Student Total: 54  Credit Hours: 3  Grade Pts: 546.3  GPA Hours: 150  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 42,  Pct: 77.78
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 5.56
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.85
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 7.41
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 5.56
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1.85
,,,
Course: AG 412  Student Total: 50  Credit Hours: 3  Grade Pts: 517.2  GPA Hours: 147  GPA: 3.52,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 62
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 14
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2
,,,
Course: AG 421  Student Total: 51  Credit Hours: 3  Grade Pts: 538.5  GPA Hours: 153  GPA: 3.52,,,
Grade: A,  Credits: 3,  Student Count: 35,  Pct: 68.63
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.84
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 5.88
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.92
,,,
Course: LEAD 242  Student Total: 60  Credit Hours: 3  Grade Pts: 548.4  GPA Hours: 162  GPA: 3.39,,,
Grade: A,  Credits: 3,  Student Count: 22,  Pct: 36.67
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 16.67
Grade: AUD,  Credits: 3,  Student Count: 2,  Pct: 3.33
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 8.33
Grade: B+,  Credits: 3,  Student Count: 10,  Pct: 16.67
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 3.33
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.67
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.67
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.67
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.33
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 6.67
,,,
Course: LEAD 342  Student Total: 29  Credit Hours: 3  Grade Pts: 227.7  GPA Hours: 72  GPA: 3.16,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 24.14
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 20.69
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 10.34
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 10.34
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 6.9
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 17.24
,,,
Course: LEAD 407  Student Total: 45  Credit Hours: Variable  Grade Pts: 234.5  GPA Hours: 62  GPA: 3.78,,,
Grade: A,  Credits: 1,  Student Count: 23,  Pct: 51.11
Grade: A-,  Credits: 1,  Student Count: 2,  Pct: 4.44
Grade: B,  Credits: 1,  Student Count: 1,  Pct: 2.22
Grade: B+,  Credits: 1,  Student Count: 3,  Pct: 6.67
Grade: A,  Credits: 2,  Student Count: 11,  Pct: 24.44
Grade: A-,  Credits: 2,  Student Count: 3,  Pct: 6.67
Grade: F,  Credits: 2,  Student Count: 1,  Pct: 2.22
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 2.22
,,,
Course: LEAD 442  Student Total: 20  Credit Hours: 3  Grade Pts: 165  GPA Hours: 54  GPA: 3.06,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 35
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 15
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 15
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 5
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 10
,,,
Course: LEAD 542  Student Total: 20  Credit Hours: 3  Grade Pts: 229.8  GPA Hours: 60  GPA: 3.83,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 70
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 20
,,,
College of Agricultural Sci,,,
Agriculture, General,,
,,,
Course: AGRI 411  Student Total: 84  Credit Hours: 3  Grade Pts: 749.1  GPA Hours: 219  GPA: 3.42,,,
Grade: A,  Credits: 3,  Student Count: 40,  Pct: 47.62
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 10.71
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 7.14
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 9.52
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 2.38
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.38
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 2.38
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 4.76
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 3.57
Grade: W,  Credits: 3,  Student Count: 8,  Pct: 9.52
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 194  Credit Hours: 4  Grade Pts: 1898  GPA Hours: 632  GPA: 3,,,
Grade: A,  Credits: 4,  Student Count: 32,  Pct: 16.49
Grade: A-,  Credits: 4,  Student Count: 21,  Pct: 10.82
Grade: B,  Credits: 4,  Student Count: 22,  Pct: 11.34
Grade: B+,  Credits: 4,  Student Count: 28,  Pct: 14.43
Grade: B-,  Credits: 4,  Student Count: 9,  Pct: 4.64
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 2.06
Grade: C+,  Credits: 4,  Student Count: 21,  Pct: 10.82
Grade: C-,  Credits: 4,  Student Count: 15,  Pct: 7.73
Grade: D,  Credits: 4,  Student Count: 3,  Pct: 1.55
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: .52
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 1.03
Grade: S,  Credits: 4,  Student Count: 25,  Pct: 12.89
Grade: U,  Credits: 4,  Student Count: 8,  Pct: 4.12
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 1.55
,,,
Course: ANS 216  Student Total: 35  Credit Hours: 3  Grade Pts: 351.6  GPA Hours: 105  GPA: 3.35,,,
Grade: A,  Credits: 3,  Student Count: 11,  Pct: 31.43
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 20
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 14.29
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 17.14
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 11.43
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.86
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.86
,,,
Course: ANS 217  Student Total: 21  Credit Hours: 3  Grade Pts: 207.3  GPA Hours: 60  GPA: 3.46,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 42.86
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 19.05
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 14.29
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 9.52
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 4.76
,,,
Course: ANS 251  Student Total: 106  Credit Hours: 3  Grade Pts: 1085.7  GPA Hours: 312  GPA: 3.48,,,
Grade: A,  Credits: 3,  Student Count: 63,  Pct: 59.43
Grade: B,  Credits: 3,  Student Count: 18,  Pct: 16.98
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 3.77
Grade: B-,  Credits: 3,  Student Count: 10,  Pct: 9.43
Grade: C,  Credits: 3,  Student Count: 7,  Pct: 6.6
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: .94
Grade: F,  Credits: 3,  Student Count: 1,  Pct: .94
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 1.89
,,,
Course: ANS 313  Student Total: 88  Credit Hours: 4  Grade Pts: 1230  GPA Hours: 348  GPA: 3.53,,,
Grade: A,  Credits: 4,  Student Count: 45,  Pct: 51.14
Grade: B,  Credits: 4,  Student Count: 15,  Pct: 17.05
Grade: B+,  Credits: 4,  Student Count: 21,  Pct: 23.86
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 2.27
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 4.55
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.14
,,,
Course: ANS 314  Student Total: 73  Credit Hours: 4  Grade Pts: 852.4  GPA Hours: 280  GPA: 3.04,,,
Grade: A,  Credits: 4,  Student Count: 18,  Pct: 24.66
Grade: A-,  Credits: 4,  Student Count: 11,  Pct: 15.07
Grade: B,  Credits: 4,  Student Count: 8,  Pct: 10.96
Grade: B+,  Credits: 4,  Student Count: 8,  Pct: 10.96
Grade: B-,  Credits: 4,  Student Count: 8,  Pct: 10.96
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 5.48
Grade: C+,  Credits: 4,  Student Count: 7,  Pct: 9.59
Grade: D,  Credits: 4,  Student Count: 3,  Pct: 4.11
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.37
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 2.74
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 4.11
,,,
Course: ANS 390  Student Total: 18  Credit Hours: 4  Grade Pts: 209.2  GPA Hours: 64  GPA: 3.27,,,
Grade: A,  Credits: 4,  Student Count: 6,  Pct: 33.33
Grade: A-,  Credits: 4,  Student Count: 1,  Pct: 5.56
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 11.11
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 16.67
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 5.56
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 5.56
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 5.56
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 5.56
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 11.11
,,,
Course: ANS 420  Student Total: 19  Credit Hours: 3  Grade Pts: 153.9  GPA Hours: 51  GPA: 3.02,,,
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 26.32
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 21.05
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 5.26
,,,
Course: ANS 430  Student Total: 42  Credit Hours: 4  Grade Pts: 534.4  GPA Hours: 164  GPA: 3.26,,,
Grade: A,  Credits: 4,  Student Count: 13,  Pct: 30.95
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 9.52
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 14.29
Grade: B+,  Credits: 4,  Student Count: 10,  Pct: 23.81
Grade: B-,  Credits: 4,  Student Count: 5,  Pct: 11.9
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 2.38
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 4.76
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 2.38
,,,
Course: ANS 441  Student Total: 14  Credit Hours: 3  Grade Pts: 156  GPA Hours: 42  GPA: 3.71,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 71.43
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 28.57
,,,
Course: ANS 446  Student Total: 24  Credit Hours: 4  Grade Pts: 218  GPA Hours: 76  GPA: 2.87,,,
Grade: A,  Credits: 4,  Student Count: 4,  Pct: 16.67
Grade: A-,  Credits: 4,  Student Count: 6,  Pct: 25
Grade: B,  Credits: 4,  Student Count: 1,  Pct: 4.17
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 12.5
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 4.17
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 4.17
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 12.5
Grade: W,  Credits: 4,  Student Count: 5,  Pct: 20.83
,,,
Course: ANS 452  Student Total: 20  Credit Hours: 3  Grade Pts: 126  GPA Hours: 54  GPA: 2.33,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 15
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 20
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 15
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 5
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 5
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 20
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 10
,,,
Course: ANS 460  Student Total: 31  Credit Hours: 4  Grade Pts: 466.8  GPA Hours: 124  GPA: 3.76,,,
Grade: A,  Credits: 4,  Student Count: 21,  Pct: 67.74
Grade: B,  Credits: 4,  Student Count: 1,  Pct: 3.23
Grade: B+,  Credits: 4,  Student Count: 9,  Pct: 29.03
,,,
Course: RNG 121  Student Total: 97  Credit Hours: 4  Grade Pts: 954  GPA Hours: 320  GPA: 2.98,,,
Grade: A,  Credits: 4,  Student Count: 17,  Pct: 17.53
Grade: A-,  Credits: 4,  Student Count: 17,  Pct: 17.53
Grade: B,  Credits: 4,  Student Count: 11,  Pct: 11.34
Grade: B+,  Credits: 4,  Student Count: 12,  Pct: 12.37
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 2.06
Grade: C,  Credits: 4,  Student Count: 5,  Pct: 5.15
Grade: C+,  Credits: 4,  Student Count: 6,  Pct: 6.19
Grade: C-,  Credits: 4,  Student Count: 3,  Pct: 3.09
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 1.03
Grade: F,  Credits: 4,  Student Count: 6,  Pct: 6.19
Grade: S,  Credits: 4,  Student Count: 4,  Pct: 4.12
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 2.06
Grade: W,  Credits: 4,  Student Count: 11,  Pct: 11.34
,,,
Course: RNG 341  Student Total: 90  Credit Hours: 3  Grade Pts: 768.6  GPA Hours: 255  GPA: 3.01,,,
