Grade Distribution By Course,,,
,,,
,,,
Course: ALS 150  Student Total: 18  Credit Hours: 3  Grade Pts: 111  GPA Hours: 54  GPA: 2.06,,,
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 11.11
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 5.56
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 16.67
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 16.67
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 16.67
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 11.11
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 11.11
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 5.56
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.56
,,,
Course: ALS 151  Student Total: 16  Credit Hours: 3  Grade Pts: 114.3  GPA Hours: 48  GPA: 2.38,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 18.75
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 6.25
,,,
Course: ALS 161  Student Total: 23  Credit Hours: 3  Grade Pts: 261.6  GPA Hours: 69  GPA: 3.79,,,
Grade: A,  Credits: 3,  Student Count: 12,  Pct: 52.17
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 34.78
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 8.7
,,,
Course: ALS 162  Student Total: 33  Credit Hours: 3  Grade Pts: 267.9  GPA Hours: 99  GPA: 2.71,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 12.12
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 18.18
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 18.18
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 9.09
