Grade Distribution By Course,,,
,,,
College of Agricultural Science,,,
Agricultural Education,,,
,,,
Course: AG 111  Student Total: 85  Credit Hours: 3  Grade Pts: 683.7  GPA Hours: 225  GPA: 3.04,,,
Grade: A,  Credits: 3,  Student Count: 29,  Pct: 34.12
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 10.59
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 8.24
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 7.06
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 7.06
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.35
Grade: C+,  Credits: 3,  Student Count: 5,  Pct: 5.88
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 2.35
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 2.35
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: F,  Credits: 3,  Student Count: 6,  Pct: 7.06
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: W,  Credits: 3,  Student Count: 9,  Pct: 10.59
,,,
Course: AG 301  Student Total: 175  Credit Hours: 3  Grade Pts: 1737.9  GPA Hours: 477  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 124,  Pct: 70.86
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 5.14
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 2.86
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 1.71
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 1.71
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 2.86
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: .57
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 1.14
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 1.14
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: .57
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 2.29
Grade: I/C+,  Credits: 3,  Student Count: 2,  Pct: 1.14
Grade: I/D-,  Credits: 3,  Student Count: 1,  Pct: .57
Grade: S,  Credits: 3,  Student Count: 1,  Pct: .57
Grade: U,  Credits: 3,  Student Count: 1,  Pct: .57
Grade: W,  Credits: 3,  Student Count: 11,  Pct: 6.29
,,,
Course: AG 311  Student Total: 98  Credit Hours: 3  Grade Pts: 848.4  GPA Hours: 261  GPA: 3.25,,,
Grade: A,  Credits: 3,  Student Count: 39,  Pct: 39.8
Grade: A-,  Credits: 3,  Student Count: 14,  Pct: 14.29
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 6.12
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 7.14
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 5.1
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 5.1
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2.04
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 3.06
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.02
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 5.1
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 1.02
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.02
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.02
Grade: W,  Credits: 3,  Student Count: 8,  Pct: 8.16
,,,
Course: AG 351  Student Total: 75  Credit Hours: 3  Grade Pts: 801.6  GPA Hours: 213  GPA: 3.76,,,
Grade: A,  Credits: 3,  Student Count: 58,  Pct: 77.33
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 8
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 5.33
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.67
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.33
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 5.33
,,,
Course: AG 391  Student Total: 50  Credit Hours: 3  Grade Pts: 453.9  GPA Hours: 135  GPA: 3.36,,,
Grade: A,  Credits: 3,  Student Count: 23,  Pct: 46
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 8
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 8
,,,
Course: AG 410  Student Total: 10  Credit Hours: Variable  Grade Pts: 146.1  GPA Hours: 40  GPA: 3.65,,,
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: P,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: A,  Credits: 4,  Student Count: 1,  Pct: 10
Grade: I/P,  Credits: 4,  Student Count: 1,  Pct: 10
Grade: P,  Credits: 5,  Student Count: 1,  Pct: 10
Grade: P,  Credits: 7,  Student Count: 1,  Pct: 10
Grade: B-,  Credits: 10,  Student Count: 1,  Pct: 10
Grade: A,  Credits: 11,  Student Count: 1,  Pct: 10
Grade: P,  Credits: 11,  Student Count: 1,  Pct: 10
Grade: A,  Credits: 12,  Student Count: 1,  Pct: 10
,,,
Course: AG 421  Student Total: 22  Credit Hours: 3  Grade Pts: 207  GPA Hours: 57  GPA: 3.63,,,
Grade: A,  Credits: 3,  Student Count: 12,  Pct: 54.55
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 9.09
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 9.09
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 9.09
,,,
Course: AG 455  Student Total: 33  Credit Hours: 3  Grade Pts: 326.1  GPA Hours: 90  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 72.73
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 6.06
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 6.06
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 6.06
,,,
Course: AGRI 520  Student Total: 11  Credit Hours: 3  Grade Pts: 117.3  GPA Hours: 30  GPA: 3.91,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 63.64
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 27.27
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 9.09
,,,
Course: LEAD 342  Student Total: 32  Credit Hours: 3  Grade Pts: 288.9  GPA Hours: 90  GPA: 3.21,,,
Grade: A,  Credits: 3,  Student Count: 13,  Pct: 40.63
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 6.25
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.25
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 12.5
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 6.25
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 9.38
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 6.25
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 6.25
,,,
College of Agricultural Sci,,,
Agriculture, General,,
,,,
Course: AG 200  Student Total: 28  Credit Hours: 2  Grade Pts: 170.4  GPA Hours: 54  GPA: 3.16,,,
Grade: A,  Credits: 2,  Student Count: 16,  Pct: 57.14
Grade: A-,  Credits: 2,  Student Count: 2,  Pct: 7.14
Grade: B+,  Credits: 2,  Student Count: 1,  Pct: 3.57
Grade: C+,  Credits: 2,  Student Count: 4,  Pct: 14.29
Grade: D+,  Credits: 2,  Student Count: 1,  Pct: 3.57
Grade: F,  Credits: 2,  Student Count: 3,  Pct: 10.71
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 3.57
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 100  Student Total: 51  Credit Hours: 1  Grade Pts: 0  GPA Hours: 0  GPA: 0,,,
Grade: N,  Credits: 1,  Student Count: 5,  Pct: 9.8
Grade: P,  Credits: 1,  Student Count: 40,  Pct: 78.43
Grade: W,  Credits: 1,  Student Count: 6,  Pct: 11.76
,,,
Course: ANS 121  Student Total: 242  Credit Hours: 4  Grade Pts: 2494.8  GPA Hours: 852  GPA: 2.93,,,
Grade: A,  Credits: 4,  Student Count: 38,  Pct: 15.7
Grade: A-,  Credits: 4,  Student Count: 29,  Pct: 11.98
Grade: B,  Credits: 4,  Student Count: 29,  Pct: 11.98
Grade: B+,  Credits: 4,  Student Count: 27,  Pct: 11.16
Grade: B-,  Credits: 4,  Student Count: 33,  Pct: 13.64
Grade: C,  Credits: 4,  Student Count: 13,  Pct: 5.37
Grade: C+,  Credits: 4,  Student Count: 23,  Pct: 9.5
Grade: C-,  Credits: 4,  Student Count: 9,  Pct: 3.72
Grade: D,  Credits: 4,  Student Count: 1,  Pct: .41
Grade: D+,  Credits: 4,  Student Count: 2,  Pct: .83
Grade: D-,  Credits: 4,  Student Count: 2,  Pct: .83
Grade: F,  Credits: 4,  Student Count: 7,  Pct: 2.89
Grade: S,  Credits: 4,  Student Count: 16,  Pct: 6.61
Grade: U,  Credits: 4,  Student Count: 3,  Pct: 1.24
Grade: W,  Credits: 4,  Student Count: 10,  Pct: 4.13
,,,
Course: ANS 220  Student Total: 37  Credit Hours: 3  Grade Pts: 372  GPA Hours: 108  GPA: 3.44,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 27.03
Grade: A-,  Credits: 3,  Student Count: 13,  Pct: 35.14
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 8.11
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 10.81
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 8.11
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 5.41
