Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Course: ALS 114  Student Total: 60  Credit Hours: 2  Grade Pts: 352.2  GPA Hours: 104  GPA: 3.39,,,
Grade: A,  Credits: 2,  Student Count: 35,  Pct: 58.33
Grade: A-,  Credits: 2,  Student Count: 5,  Pct: 8.33
Grade: B+,  Credits: 2,  Student Count: 3,  Pct: 5
Grade: B-,  Credits: 2,  Student Count: 2,  Pct: 3.33
Grade: C+,  Credits: 2,  Student Count: 1,  Pct: 1.67
Grade: F,  Credits: 2,  Student Count: 6,  Pct: 10
Grade: I/F,  Credits: 2,  Student Count: 1,  Pct: 1.67
Grade: S,  Credits: 2,  Student Count: 1,  Pct: 1.67
Grade: U,  Credits: 2,  Student Count: 1,  Pct: 1.67
Grade: W,  Credits: 2,  Student Count: 5,  Pct: 8.33
,,,
Course: ALS 116  Student Total: 58  Credit Hours: 2  Grade Pts: 0  GPA Hours: 0  GPA: 0,,,
Grade: AUD,  Credits: 2,  Student Count: 1,  Pct: 1.72
Grade: I/N,  Credits: 2,  Student Count: 1,  Pct: 1.72
Grade: N,  Credits: 2,  Student Count: 21,  Pct: 36.21
Grade: P,  Credits: 2,  Student Count: 29,  Pct: 50
Grade: W,  Credits: 2,  Student Count: 6,  Pct: 10.34
,,,
Course: ALS 139  Student Total: 10  Credit Hours: 3  Grade Pts: 0  GPA Hours: 0  GPA: 0,,,
Grade: N,  Credits: 3,  Student Count: 3,  Pct: 30
Grade: P,  Credits: 3,  Student Count: 7,  Pct: 70
,,,
Course: ALS 145  Student Total: 17  Credit Hours: 3  Grade Pts: 155.1  GPA Hours: 45  GPA: 3.45,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 41.18
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 17.65
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 11.76
,,,
Course: ALS 150  Student Total: 17  Credit Hours: 3  Grade Pts: 66  GPA Hours: 51  GPA: 1.29,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: F,  Credits: 3,  Student Count: 6,  Pct: 35.29
,,,
Course: ALS 151  Student Total: 19  Credit Hours: 3  Grade Pts: 84.3  GPA Hours: 57  GPA: 1.48,,,
