Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Course: ALS 150  Student Total: 13  Credit Hours: 3  Grade Pts: 78  GPA Hours: 39  GPA: 2,,,
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 30.77
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 15.38
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 15.38
,,,
Course: ALS 162  Student Total: 14  Credit Hours: 3  Grade Pts: 109.2  GPA Hours: 39  GPA: 2.8,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 21.43
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 21.43
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 21.43
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 14.29
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 7.14
,,,
Course: ALS 190  Student Total: 41  Credit Hours: Variable  Grade Pts: 435  GPA Hours: 117  GPA: 3.72,,,
Grade: A,  Credits: 3,  Student Count: 25,  Pct: 60.98
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 21.95
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 7.32
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.44
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.44
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 4.88
,,,
Course: ENSC 479  Student Total: 16  Credit Hours: 3  Grade Pts: 141.9  GPA Hours: 42  GPA: 3.38,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 31.25
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 25
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 12.5
,,,
Course: GEOG 102  Student Total: 67  Credit Hours: 4  Grade Pts: 798.8  GPA Hours: 232  GPA: 3.44,,,
Grade: A,  Credits: 4,  Student Count: 32,  Pct: 47.76
Grade: A-,  Credits: 4,  Student Count: 8,  Pct: 11.94
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 4.48
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 7.46
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 4.48
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 2.99
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 2.99
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: I/F,  Credits: 4,  Student Count: 1,  Pct: 1.49
Grade: S,  Credits: 4,  Student Count: 3,  Pct: 4.48
Grade: W,  Credits: 4,  Student Count: 5,  Pct: 7.46
,,,
Course: GEOG 103  Student Total: 70  Credit Hours: 3  Grade Pts: 671.4  GPA Hours: 189  GPA: 3.55,,,
Grade: A,  Credits: 3,  Student Count: 41,  Pct: 58.57
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 11.43
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 4.29
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 4.29
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.43
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.86
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2.86
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 4.29
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.43
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.43
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 7.14
,,,
Course: GEOG 106  Student Total: 52  Credit Hours: 3  Grade Pts: 478.5  GPA Hours: 150  GPA: 3.19,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 59.62
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 9.62
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.92
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 3.85
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 3.85
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.92
Grade: F,  Credits: 3,  Student Count: 8,  Pct: 15.38
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 3.85
,,,
Course: GEOG 201  Student Total: 55  Credit Hours: 4  Grade Pts: 413.6  GPA Hours: 152  GPA: 2.72,,,
Grade: A,  Credits: 4,  Student Count: 11,  Pct: 20
Grade: A-,  Credits: 4,  Student Count: 1,  Pct: 1.82
