Grade Distribution By Course,,,
,,,
,,,
College of Agricultural Sci,,,
Agricultural Education,,,
,,,
Course: AED 235  Student Total: 24  Credit Hours: 2  Grade Pts: 151.4  GPA Hours: 44  GPA: 3.44,,,
Grade: A,  Credits: 2,  Student Count: 11,  Pct: 45.83
Grade: A-,  Credits: 2,  Student Count: 3,  Pct: 12.5
Grade: B,  Credits: 2,  Student Count: 4,  Pct: 16.67
Grade: B+,  Credits: 2,  Student Count: 2,  Pct: 8.33
Grade: C,  Credits: 2,  Student Count: 1,  Pct: 4.17
Grade: F,  Credits: 2,  Student Count: 1,  Pct: 4.17
Grade: W,  Credits: 2,  Student Count: 2,  Pct: 8.33
,,,
Course: AED 510  Student Total: 13  Credit Hours: Variable  Grade Pts: 120  GPA Hours: 30  GPA: 4,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 46.15
Grade: W,  Credits: 3,  Student Count: 6,  Pct: 46.15
Grade: A,  Credits: 12,  Student Count: 1,  Pct: 7.69
,,,
Course: AED 553  Student Total: 10  Credit Hours: 3  Grade Pts: 95.1  GPA Hours: 24  GPA: 3.96,,,
,,,
,,,
,,,
,,,
Course: AG 111  Student Total: 85  Credit Hours: 3  Grade Pts: 714.6  GPA Hours: 246  GPA: 2.9,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 36.47
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 12.94
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 5.88
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 8.24
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 5.88
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 4.71
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 4.71
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.18
Grade: F,  Credits: 3,  Student Count: 11,  Pct: 12.94
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 3.53
,,,
Course: AG 301  Student Total: 104  Credit Hours: 3  Grade Pts: 1070.1  GPA Hours: 279  GPA: 3.84,,,
Grade: A,  Credits: 3,  Student Count: 76,  Pct: 73.08
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 10.58
Grade: C,  Credits: 3,  Student Count: 6,  Pct: 5.77
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 1.92
Grade: W,  Credits: 3,  Student Count: 9,  Pct: 8.65
,,,
Course: AG 311  Student Total: 96  Credit Hours: 3  Grade Pts: 833.7  GPA Hours: 255  GPA: 3.27,,,
Grade: A,  Credits: 3,  Student Count: 29,  Pct: 30.21
Grade: A-,  Credits: 3,  Student Count: 19,  Pct: 19.79
Grade: B,  Credits: 3,  Student Count: 9,  Pct: 9.38
Grade: B+,  Credits: 3,  Student Count: 13,  Pct: 13.54
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 3.13
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 3.13
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.04
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.04
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.04
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 2.08
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 4.17
Grade: S,  Credits: 3,  Student Count: 4,  Pct: 4.17
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 7.29
,,,
Course: AG 351  Student Total: 83  Credit Hours: 3  Grade Pts: 867.3  GPA Hours: 231  GPA: 3.75,,,
Grade: A,  Credits: 3,  Student Count: 63,  Pct: 75.9
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 6.02
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 2.41
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 3.61
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.2
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 3.61
Grade: I/F,  Credits: 3,  Student Count: 2,  Pct: 2.41
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 4.82
,,,
Course: AG 391  Student Total: 55  Credit Hours: 3  Grade Pts: 527.1  GPA Hours: 150  GPA: 3.51,,,
Grade: A,  Credits: 3,  Student Count: 38,  Pct: 69.09
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 3.64
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 3.64
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 1.82
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.64
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.82
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.82
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 5.45
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 1.82
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.82
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 5.45
,,,
Course: AG 455  Student Total: 19  Credit Hours: 3  Grade Pts: 199.2  GPA Hours: 54  GPA: 3.69,,,
Grade: A,  Credits: 3,  Student Count: 15,  Pct: 78.95
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 5.26
,,,
Course: LEAD 443  Student Total: 42  Credit Hours: 3  Grade Pts: 458.7  GPA Hours: 126  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 22,  Pct: 52.38
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 26.19
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 4.76
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 7.14
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.38
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4.76
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.38
,,,
Course: LEAD 543  Student Total: 13  Credit Hours: 3  Grade Pts: 141  GPA Hours: 39  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 61.54
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 15.38
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 7.69
,,,
College of Agricultural Sci,,,
Agriculture, General,,
,,,
Course: AG 200  Student Total: 21  Credit Hours: 2  Grade Pts: 144.8  GPA Hours: 42  GPA: 3.45,,,
Grade: A,  Credits: 2,  Student Count: 10,  Pct: 47.62
Grade: A-,  Credits: 2,  Student Count: 3,  Pct: 14.29
Grade: B+,  Credits: 2,  Student Count: 3,  Pct: 14.29
Grade: B-,  Credits: 2,  Student Count: 2,  Pct: 9.52
Grade: C,  Credits: 2,  Student Count: 3,  Pct: 14.29
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 284  Credit Hours: 4  Grade Pts: 3185.6  GPA Hours: 1068  GPA: 2.98,,,
Grade: A,  Credits: 4,  Student Count: 50,  Pct: 17.61
Grade: A-,  Credits: 4,  Student Count: 44,  Pct: 15.49
Grade: B,  Credits: 4,  Student Count: 54,  Pct: 19.01
Grade: B+,  Credits: 4,  Student Count: 30,  Pct: 10.56
Grade: B-,  Credits: 4,  Student Count: 32,  Pct: 11.27
Grade: C,  Credits: 4,  Student Count: 17,  Pct: 5.99
Grade: C+,  Credits: 4,  Student Count: 13,  Pct: 4.58
Grade: C-,  Credits: 4,  Student Count: 8,  Pct: 2.82
Grade: D,  Credits: 4,  Student Count: 4,  Pct: 1.41
Grade: D+,  Credits: 4,  Student Count: 2,  Pct: .7
Grade: D-,  Credits: 4,  Student Count: 3,  Pct: 1.06
Grade: F,  Credits: 4,  Student Count: 10,  Pct: 3.52
Grade: S,  Credits: 4,  Student Count: 7,  Pct: 2.46
Grade: U,  Credits: 4,  Student Count: 2,  Pct: .7
Grade: W,  Credits: 4,  Student Count: 8,  Pct: 2.82
,,,
Course: ANS 207  Student Total: 60  Credit Hours: 2  Grade Pts: 434.8  GPA Hours: 118  GPA: 3.68,,,
Grade: A,  Credits: 2,  Student Count: 43,  Pct: 71.67
Grade: B,  Credits: 2,  Student Count: 3,  Pct: 5
Grade: B+,  Credits: 2,  Student Count: 8,  Pct: 13.33
Grade: C,  Credits: 2,  Student Count: 3,  Pct: 5
Grade: C+,  Credits: 2,  Student Count: 1,  Pct: 1.67
Grade: C-,  Credits: 2,  Student Count: 1,  Pct: 1.67
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 1.67
,,,
Course: ANS 220  Student Total: 38  Credit Hours: 3  Grade Pts: 341.1  GPA Hours: 111  GPA: 3.07,,,
Grade: A,  Credits: 3,  Student Count: 12,  Pct: 31.58
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 13.16
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 13.16
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 7.89
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 10.53
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 10.53
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.63
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.63
,,,
Course: ANS 311  Student Total: 77  Credit Hours: 3  Grade Pts: 582  GPA Hours: 228  GPA: 2.55,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 18.18
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 6.49
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 9.09
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 7.79
Grade: B-,  Credits: 3,  Student Count: 10,  Pct: 12.99
Grade: C,  Credits: 3,  Student Count: 6,  Pct: 7.79
Grade: C+,  Credits: 3,  Student Count: 7,  Pct: 9.09
Grade: C-,  Credits: 3,  Student Count: 9,  Pct: 11.69
Grade: D,  Credits: 3,  Student Count: 3,  Pct: 3.9
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: 3.9
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 2.6
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 5.19
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.3
,,,
Course: ANS 315  Student Total: 40  Credit Hours: 3  Grade Pts: 413.1  GPA Hours: 114  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 60
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 22.5
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.5
,,,
Course: ANS 341  Student Total: 33  Credit Hours: 3  Grade Pts: 337.5  GPA Hours: 99  GPA: 3.41,,,
Grade: A,  Credits: 3,  Student Count: 18,  Pct: 54.55
Grade: B,  Credits: 3,  Student Count: 8,  Pct: 24.24
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 9.09
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.03
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 6.06
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.03
,,,
Course: ANS 378  Student Total: 56  Credit Hours: 4  Grade Pts: 670.4  GPA Hours: 212  GPA: 3.16,,,
Grade: A,  Credits: 4,  Student Count: 22,  Pct: 39.29
Grade: A-,  Credits: 4,  Student Count: 3,  Pct: 5.36
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 12.5
Grade: B+,  Credits: 4,  Student Count: 9,  Pct: 16.07
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 5.36
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 5.36
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 1.79
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.79
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 1.79
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 5.36
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 5.36
,,,
Course: ANS 380  Student Total: 33  Credit Hours: 3  Grade Pts: 379.5  GPA Hours: 99  GPA: 3.83,,,
Grade: A,  Credits: 3,  Student Count: 22,  Pct: 66.67
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 24.24
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 6.06
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.03
,,,
Course: ANS 405  Student Total: 16  Credit Hours: Variable  Grade Pts: 0  GPA Hours: 0  GPA: 0,,,
Grade: P,  Credits: 1,  Student Count: 3,  Pct: 18.75
Grade: I/P,  Credits: 2,  Student Count: 6,  Pct: 37.5
Grade: P,  Credits: 2,  Student Count: 7,  Pct: 43.75
,,,
Course: ANS 420  Student Total: 14  Credit Hours: 3  Grade Pts: 84.9  GPA Hours: 24  GPA: 3.54,,,
Grade: A,  Credits: 3,  Student Count: 4,  Pct: 28.57
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 21.43
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 7.14
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 28.57
,,,
Course: ANS 427  Student Total: 13  Credit Hours: 5  Grade Pts: 193  GPA Hours: 55  GPA: 3.51,,,
Grade: A,  Credits: 5,  Student Count: 6,  Pct: 46.15
Grade: B,  Credits: 5,  Student Count: 1,  Pct: 7.69
Grade: B+,  Credits: 5,  Student Count: 2,  Pct: 15.38
Grade: B-,  Credits: 5,  Student Count: 1,  Pct: 7.69
Grade: C+,  Credits: 5,  Student Count: 1,  Pct: 7.69
Grade: I/C-,  Credits: 5,  Student Count: 1,  Pct: 7.69
Grade: W,  Credits: 5,  Student Count: 1,  Pct: 7.69
,,,
Course: ANS 445  Student Total: 45  Credit Hours: 4  Grade Pts: 632.8  GPA Hours: 180  GPA: 3.52,,,
Grade: A,  Credits: 4,  Student Count: 23,  Pct: 51.11
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 15.56
Grade: B+,  Credits: 4,  Student Count: 11,  Pct: 24.44
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 2.22
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 6.67
,,,
Course: RNG 121  Student Total: 144  Credit Hours: 4  Grade Pts: 1585.6  GPA Hours: 512  GPA: 3.1,,,
Grade: A,  Credits: 4,  Student Count: 51,  Pct: 35.42
Grade: A-,  Credits: 4,  Student Count: 23,  Pct: 15.97
Grade: B,  Credits: 4,  Student Count: 8,  Pct: 5.56
Grade: B+,  Credits: 4,  Student Count: 16,  Pct: 11.11
Grade: B-,  Credits: 4,  Student Count: 5,  Pct: 3.47
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 2.08
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 1.39
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 1.39
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: D-,  Credits: 4,  Student Count: 2,  Pct: 1.39
Grade: F,  Credits: 4,  Student Count: 14,  Pct: 9.72
Grade: S,  Credits: 4,  Student Count: 5,  Pct: 3.47
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 1.39
Grade: W,  Credits: 4,  Student Count: 9,  Pct: 6.25
,,,
Course: RNG 341  Student Total: 54  Credit Hours: 3  Grade Pts: 383.1  GPA Hours: 141  GPA: 2.72,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 9.26
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 11.11
Grade: B,  Credits: 3,  Student Count: 9,  Pct: 16.67
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 11.11
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 11.11
