Grade Distribution By Course,,,
,,,
,,,
Course: AG 111  Student Total: 39  Credit Hours: 3  Grade Pts: 313.8  GPA Hours: 111  GPA: 2.83,,,
Grade: A,  Credits: 3,  Student Count: 9,  Pct: 23.08
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 15.38
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 15.38
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 5.13
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 5.13
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.56
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2.56
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2.56
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 7.69
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 5.13
,,,
Course: AG 301  Student Total: 106  Credit Hours: 3  Grade Pts: 1081.5  GPA Hours: 297  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 74,  Pct: 69.81
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 6.6
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 2.83
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 3.77
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 2.83
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 2.83
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: .94
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 3.77
Grade: S,  Credits: 3,  Student Count: 6,  Pct: 5.66
Grade: W,  Credits: 3,  Student Count: 1,  Pct: .94
,,,
Course: AG 311  Student Total: 101  Credit Hours: 3  Grade Pts: 947.1  GPA Hours: 285  GPA: 3.32,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 30.69
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 10.89
Grade: B,  Credits: 3,  Student Count: 11,  Pct: 10.89
Grade: B+,  Credits: 3,  Student Count: 23,  Pct: 22.77
Grade: B-,  Credits: 3,  Student Count: 11,  Pct: 10.89
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 2.97
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: .99
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 1.98
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: .99
Grade: F,  Credits: 3,  Student Count: 1,  Pct: .99
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 2.97
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 2.97
,,,
Course: AG 321  Student Total: 40  Credit Hours: 3  Grade Pts: 406.8  GPA Hours: 114  GPA: 3.57,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 60
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 10
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 5
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.5
,,,
Course: AG 351  Student Total: 70  Credit Hours: 3  Grade Pts: 786.6  GPA Hours: 204  GPA: 3.86,,,
Grade: A,  Credits: 3,  Student Count: 55,  Pct: 78.57
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 2.86
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 2.86
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.43
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.43
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 2.86
,,,
Course: AG 412  Student Total: 49  Credit Hours: 3  Grade Pts: 446.7  GPA Hours: 135  GPA: 3.31,,,
Grade: A,  Credits: 3,  Student Count: 26,  Pct: 53.06
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 4.08
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 8.16
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 10.2
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 4.08
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 8.16
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 6.12
,,,
Course: AG 421  Student Total: 24  Credit Hours: 3  Grade Pts: 251.1  GPA Hours: 72  GPA: 3.49,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 58.33
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 12.5
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 8.33
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.17
,,,
Course: LEAD 242  Student Total: 64  Credit Hours: 3  Grade Pts: 630.3  GPA Hours: 177  GPA: 3.56,,,
Grade: A,  Credits: 3,  Student Count: 40,  Pct: 62.5
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 9.38
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 3.13
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 6.25
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.56
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.56
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.56
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 3.13
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.13
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.56
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 6.25
,,,
