Grade Distribution By Course,,,
,,,
,,,
Course: AED 325  Student Total: 19  Credit Hours: 3  Grade Pts: 206.1  GPA Hours: 57  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 12,  Pct: 63.16
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 15.79
,,,
Course: AG 301  Student Total: 100  Credit Hours: 3  Grade Pts: 1036.2  GPA Hours: 285  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 69,  Pct: 69
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: B,  Credits: 3,  Student Count: 12,  Pct: 12
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 7
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 3
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 4
,,,
Course: AG 311  Student Total: 100  Credit Hours: 3  Grade Pts: 838.2  GPA Hours: 279  GPA: 3,,,
Grade: A,  Credits: 3,  Student Count: 32,  Pct: 32
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 5
Grade: B,  Credits: 3,  Student Count: 13,  Pct: 13
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 8
Grade: B-,  Credits: 3,  Student Count: 7,  Pct: 7
Grade: C,  Credits: 3,  Student Count: 9,  Pct: 9
Grade: C+,  Credits: 3,  Student Count: 12,  Pct: 12
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 4
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 7
,,,
Course: AG 351  Student Total: 40  Credit Hours: 3  Grade Pts: 382.2  GPA Hours: 105  GPA: 3.64,,,
Grade: A,  Credits: 3,  Student Count: 21,  Pct: 52.5
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 10
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 7.5
,,,
Course: AG 421  Student Total: 40  Credit Hours: 3  Grade Pts: 359.1  GPA Hours: 114  GPA: 3.15,,,
Grade: A,  Credits: 3,  Student Count: 18,  Pct: 45
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 20
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: D-,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 7.5
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 2.5
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.5
,,,
Course: AG 455  Student Total: 36  Credit Hours: 3  Grade Pts: 373.2  GPA Hours: 105  GPA: 3.55,,,
Grade: A,  Credits: 3,  Student Count: 26,  Pct: 72.22
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: AUD,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 5.56
,,,
Course: LEAD 342  Student Total: 96  Credit Hours: 3  Grade Pts: 976.5  GPA Hours: 270  GPA: 3.62,,,
Grade: A,  Credits: 3,  Student Count: 65,  Pct: 67.71
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 8.33
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.04
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 5.21
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 3.13
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 3.13
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.04
