Grade Distribution By Course,,,
,,,
College of Agriculture,,,
,,,
Course: AG 111  Student Total: 37  Credit Hours: 3  Grade Pts: 354.3  GPA Hours: 105  GPA: 3.37,,,
Grade: A,  Credits: 3,  Student Count: 16,  Pct: 43.24
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 18.92
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 13.51
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 5.41
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 5.41
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.7
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 5.41
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 5.41
,,,
Course: AG 230  Student Total: 21  Credit Hours: 3  Grade Pts: 215.4  GPA Hours: 63  GPA: 3.42,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 66.67
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 14.29
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 4.76
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.76
,,,
Course: AG 301  Student Total: 124  Credit Hours: 3  Grade Pts: 1161.3  GPA Hours: 339  GPA: 3.43,,,
Grade: A,  Credits: 3,  Student Count: 61,  Pct: 49.19
Grade: A-,  Credits: 3,  Student Count: 12,  Pct: 9.68
Grade: B,  Credits: 3,  Student Count: 15,  Pct: 12.1
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 2.42
Grade: B-,  Credits: 3,  Student Count: 7,  Pct: 5.65
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 2.42
Grade: C+,  Credits: 3,  Student Count: 6,  Pct: 4.84
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 2.42
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 2.42
Grade: S,  Credits: 3,  Student Count: 6,  Pct: 4.84
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 4.03
,,,
Course: AG 311  Student Total: 50  Credit Hours: 3  Grade Pts: 437.7  GPA Hours: 147  GPA: 2.98,,,
Grade: A,  Credits: 3,  Student Count: 16,  Pct: 32
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 16
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 8
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: C,  Credits: 3,  Student Count: 5,  Pct: 10
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 4
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 6
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2
,,,
Course: AG 351  Student Total: 59  Credit Hours: 3  Grade Pts: 623.7  GPA Hours: 171  GPA: 3.65,,,
Grade: A,  Credits: 3,  Student Count: 30,  Pct: 50.85
Grade: A-,  Credits: 3,  Student Count: 13,  Pct: 22.03
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 11.86
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 8.47
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1.69
,,,
Course: AG 412  Student Total: 47  Credit Hours: 3  Grade Pts: 406.8  GPA Hours: 129  GPA: 3.15,,,
Grade: A,  Credits: 3,  Student Count: 11,  Pct: 23.4
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 23.4
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 14.89
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 6.38
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 6.38
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 6.38
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 4.26
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2.13
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 4.26
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 8.51
,,,
Course: AG 421  Student Total: 45  Credit Hours: 3  Grade Pts: 425.1  GPA Hours: 132  GPA: 3.22,,,
Grade: A,  Credits: 3,  Student Count: 13,  Pct: 28.89
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 15.56
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 15.56
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 20
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 4.44
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 4.44
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.22
,,,
Course: LEAD 242  Student Total: 63  Credit Hours: 3  Grade Pts: 533.4  GPA Hours: 180  GPA: 2.96,,,
Grade: A,  Credits: 3,  Student Count: 15,  Pct: 23.81
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 12.7
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 9.52
Grade: B+,  Credits: 3,  Student Count: 13,  Pct: 20.63
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 6.35
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.59
Grade: C+,  Credits: 3,  Student Count: 5,  Pct: 7.94
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 1.59
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.59
Grade: F,  Credits: 3,  Student Count: 6,  Pct: 9.52
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 3.17
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.59
,,,
