Grade Distribution By Course,,,
,,,
Collage of Agriculture,,,
,,,
Course: AG 111  Student Total: 27  Credit Hours: 3  Grade Pts: 200.4  GPA Hours: 66  GPA: 3.04,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 37.04
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 7.41
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 14.81
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.7
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 11.11
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 18.52
,,,
Course: AG 301  Student Total: 56  Credit Hours: 3  Grade Pts: 585.9  GPA Hours: 156  GPA: 3.76,,,
Grade: A,  Credits: 3,  Student Count: 39,  Pct: 69.64
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.14
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 8.93
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.79
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 3.57
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 3.57
,,,
Course: AG 311  Student Total: 63  Credit Hours: 3  Grade Pts: 500.1  GPA Hours: 177  GPA: 2.83,,,
Grade: A,  Credits: 3,  Student Count: 13,  Pct: 20.63
Grade: A-,  Credits: 3,  Student Count: 9,  Pct: 14.29
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 11.11
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 3.17
Grade: B-,  Credits: 3,  Student Count: 11,  Pct: 17.46
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 6.35
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 3.17
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 4.76
Grade: D,  Credits: 3,  Student Count: 5,  Pct: 7.94
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 3.17
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.59
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.59
Grade: U,  Credits: 3,  Student Count: 2,  Pct: 3.17
