Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Course: ALS 116  Student Total: 11  Credit Hours: 2  Grade Pts: 0  GPA Hours: 0  GPA: 0,,,
Grade: N,  Credits: 2,  Student Count: 3,  Pct: 27.27
Grade: P,  Credits: 2,  Student Count: 8,  Pct: 72.73
,,,
Course: ALS 140  Student Total: 10  Credit Hours: 3  Grade Pts: 90.9  GPA Hours: 30  GPA: 3.03,,,
Grade: A,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 20
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 10
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 10
,,,
Course: ALS 141  Student Total: 13  Credit Hours: 3  Grade Pts: 73.2  GPA Hours: 39  GPA: 1.88,,,
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 30.77
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 23.08
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 30.77
,,,
Course: ALS 150  Student Total: 31  Credit Hours: 3  Grade Pts: 202.2  GPA Hours: 93  GPA: 2.17,,,
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 9.68
Grade: B-,  Credits: 3,  Student Count: 7,  Pct: 22.58
Grade: C,  Credits: 3,  Student Count: 7,  Pct: 22.58
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 12.9
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 6.45
,,,
Course: ALS 151  Student Total: 23  Credit Hours: 3  Grade Pts: 174.3  GPA Hours: 69  GPA: 2.53,,,
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 21.74
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 13.04
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 21.74
Grade: C,  Credits: 3,  Student Count: 6,  Pct: 26.09
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.35
,,,
Course: ALS 161  Student Total: 20  Credit Hours: 3  Grade Pts: 197.4  GPA Hours: 60  GPA: 3.29,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 25
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 25
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 30
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 10
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5
,,,
Course: ALS 162  Student Total: 53  Credit Hours: 3  Grade Pts: 452.4  GPA Hours: 159  GPA: 2.85,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 15.09
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 7.55
Grade: B,  Credits: 3,  Student Count: 12,  Pct: 22.64
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 13.21
Grade: B-,  Credits: 3,  Student Count: 7,  Pct: 13.21
Grade: C,  Credits: 3,  Student Count: 7,  Pct: 13.21
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 5.66
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 5.66
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 3.77
,,,
Course: ALS 190  Student Total: 92  Credit Hours: Variable  Grade Pts: 907.8  GPA Hours: 236  GPA: 3.85,,,
Grade: A,  Credits: 2,  Student Count: 25,  Pct: 27.17
Grade: A-,  Credits: 2,  Student Count: 2,  Pct: 2.17
Grade: B,  Credits: 2,  Student Count: 5,  Pct: 5.43
Grade: B+,  Credits: 2,  Student Count: 5,  Pct: 5.43
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 1.09
Grade: A,  Credits: 3,  Student Count: 44,  Pct: 47.83
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 4.35
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 2.17
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 4.35
,,,
Course: ENSC 479  Student Total: 18  Credit Hours: 3  Grade Pts: 171.3  GPA Hours: 51  GPA: 3.36,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 33.33
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 33.33
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.56
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 11.11
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 5.56
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.56
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 5.56
,,,
Coll of Earth  Ocean and Atmos,,,
Geosciences,,,
,,,
Course: GEO 101  Student Total: 46  Credit Hours: 4  Grade Pts: 264.8  GPA Hours: 116  GPA: 2.28,,,
Grade: A,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: A-,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: C,  Credits: 4,  Student Count: 5,  Pct: 10.87
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 4.35
Grade: C-,  Credits: 4,  Student Count: 5,  Pct: 10.87
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 4.35
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: S,  Credits: 4,  Student Count: 3,  Pct: 6.52
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 4.35
Grade: W,  Credits: 4,  Student Count: 12,  Pct: 26.09
,,,
Course: GEO 306  Student Total: 15  Credit Hours: 3  Grade Pts: 78  GPA Hours: 39  GPA: 2,,,
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 13.33
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 20
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 13.33
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 6.67
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 13.33
