Grade Distribution By Course,,,
,,,
College of Ag,,,
Agricultural Education,,,
,,,
Course: AG 111  Student Total: 28  Credit Hours: 3  Grade Pts: 213  GPA Hours: 63  GPA: 3.38,,,
Grade: A,  Credits: 3,  Student Count: 7,  Pct: 25
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 14.29
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 10.71
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 10.71
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 7.14
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 14.29
,,,
Course: AG 301  Student Total: 52  Credit Hours: 3  Grade Pts: 606.9  GPA Hours: 156  GPA: 3.89,,,
Grade: A,  Credits: 3,  Student Count: 39,  Pct: 75
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 19.23
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 3.85
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 1.92
,,,
Course: AG 311  Student Total: 94  Credit Hours: 3  Grade Pts: 705.3  GPA Hours: 231  GPA: 3.05,,,
Grade: A,  Credits: 3,  Student Count: 20,  Pct: 21.28
Grade: A-,  Credits: 3,  Student Count: 13,  Pct: 13.83
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 6.38
Grade: B+,  Credits: 3,  Student Count: 12,  Pct: 12.77
Grade: B-,  Credits: 3,  Student Count: 12,  Pct: 12.77
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.13
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2.13
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 3.19
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 2.13
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.06
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 4.26
Grade: S,  Credits: 3,  Student Count: 7,  Pct: 7.45
