Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Course: ALS 114  Student Total: 44  Credit Hours: 2  Grade Pts: 292.2  GPA Hours: 82  GPA: 3.56,,,
Grade: A,  Credits: 2,  Student Count: 27,  Pct: 61.36
Grade: A-,  Credits: 2,  Student Count: 3,  Pct: 6.82
Grade: B,  Credits: 2,  Student Count: 7,  Pct: 15.91
Grade: B+,  Credits: 2,  Student Count: 1,  Pct: 2.27
Grade: B-,  Credits: 2,  Student Count: 1,  Pct: 2.27
Grade: F,  Credits: 2,  Student Count: 2,  Pct: 4.55
Grade: I/F,  Credits: 2,  Student Count: 1,  Pct: 2.27
Grade: U,  Credits: 2,  Student Count: 1,  Pct: 2.27
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 2.27
,,,
Course: ALS 116  Student Total: 65  Credit Hours: 2  Grade Pts: 0  GPA Hours: 0  GPA: 0,,,
Grade: N,  Credits: 2,  Student Count: 4,  Pct: 6.15
Grade: P,  Credits: 2,  Student Count: 51,  Pct: 78.46
Grade: W,  Credits: 2,  Student Count: 10,  Pct: 15.38
,,,
Course: ALS 140  Student Total: 12  Credit Hours: 3  Grade Pts: 58.2  GPA Hours: 36  GPA: 1.62,,,
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 33.33
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: D,  Credits: 3,  Student Count: 4,  Pct: 33.33
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 16.67
,,,
Course: ALS 141  Student Total: 12  Credit Hours: 3  Grade Pts: 72.3  GPA Hours: 36  GPA: 2.01,,,
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 41.67
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 16.67
,,,
Course: ALS 145  Student Total: 75  Credit Hours: 3  Grade Pts: 788.1  GPA Hours: 225  GPA: 3.5,,,
Grade: A,  Credits: 3,  Student Count: 34,  Pct: 45.33
Grade: A-,  Credits: 3,  Student Count: 16,  Pct: 21.33
Grade: B,  Credits: 3,  Student Count: 12,  Pct: 16
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 8
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 2.67
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 2.67
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.33
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.33
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.33
,,,
Course: ALS 150  Student Total: 26  Credit Hours: 3  Grade Pts: 162  GPA Hours: 78  GPA: 2.08,,,
