Grade Distribution By Course,,,
,,,
,,,
College of Liberal Arts,,,
Liberal Arts,,,
,,,
Course: EAH 411  Student Total: 31  Credit Hours: 4  Grade Pts: 383.2  GPA Hours: 120  GPA: 3.19,,,
Grade: A,  Credits: 4,  Student Count: 16,  Pct: 51.61
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 12.9
Grade: B,  Credits: 4,  Student Count: 4,  Pct: 12.9
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 3.23
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 3.23
Grade: F,  Credits: 4,  Student Count: 4,  Pct: 12.9
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 3.23
,,,
Course: MAST 201  Student Total: 28  Credit Hours: 3  Grade Pts: 270.9  GPA Hours: 78  GPA: 3.47,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 50
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 7.14
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 10.71
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 14.29
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: I/D,  Credits: 3,  Student Count: 2,  Pct: 7.14
,,,
Course: MAST 300  Student Total: 14  Credit Hours: 4  Grade Pts: 186.8  GPA Hours: 56  GPA: 3.34,,,
Grade: A,  Credits: 4,  Student Count: 7,  Pct: 50
Grade: A-,  Credits: 4,  Student Count: 1,  Pct: 7.14
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 21.43
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 7.14
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 7.14
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 7.14
,,,
College of Liberal Arts,,,
School of Arts and Comm,,,
,,,
Course: ART 101  Student Total: 385  Credit Hours: 3  Grade Pts: 3550.5  GPA Hours: 1086  GPA: 3.27,,,
Grade: A,  Credits: 3,  Student Count: 135,  Pct: 35.06
Grade: A-,  Credits: 3,  Student Count: 67,  Pct: 17.4
Grade: B,  Credits: 3,  Student Count: 32,  Pct: 8.31
Grade: B+,  Credits: 3,  Student Count: 42,  Pct: 10.91
Grade: B-,  Credits: 3,  Student Count: 32,  Pct: 8.31
Grade: C,  Credits: 3,  Student Count: 18,  Pct: 4.68
Grade: C+,  Credits: 3,  Student Count: 8,  Pct: 2.08
Grade: C-,  Credits: 3,  Student Count: 6,  Pct: 1.56
Grade: D,  Credits: 3,  Student Count: 4,  Pct: 1.04
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: .78
Grade: D-,  Credits: 3,  Student Count: 3,  Pct: .78
Grade: F,  Credits: 3,  Student Count: 12,  Pct: 3.12
Grade: S,  Credits: 3,  Student Count: 16,  Pct: 4.16
Grade: U,  Credits: 3,  Student Count: 2,  Pct: .52
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 1.3
,,,
Course: ART 115  Student Total: 48  Credit Hours: 4  Grade Pts: 675.2  GPA Hours: 192  GPA: 3.52,,,
Grade: A,  Credits: 4,  Student Count: 30,  Pct: 62.5
Grade: A-,  Credits: 4,  Student Count: 6,  Pct: 12.5
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 6.25
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 4.17
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 4.17
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 4.17
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 2.08
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 4.17
,,,
Course: ART 117  Student Total: 39  Credit Hours: 4  Grade Pts: 536.8  GPA Hours: 156  GPA: 3.44,,,
Grade: A,  Credits: 4,  Student Count: 10,  Pct: 25.64
Grade: A-,  Credits: 4,  Student Count: 14,  Pct: 35.9
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 5.13
Grade: B+,  Credits: 4,  Student Count: 8,  Pct: 20.51
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 2.56
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 2.56
Grade: C+,  Credits: 4,  Student Count: 2,  Pct: 5.13
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 2.56
,,,
Course: ART 121  Student Total: 60  Credit Hours: 4  Grade Pts: 723.2  GPA Hours: 220  GPA: 3.29,,,
Grade: A,  Credits: 4,  Student Count: 32,  Pct: 53.33
Grade: A-,  Credits: 4,  Student Count: 2,  Pct: 3.33
Grade: B,  Credits: 4,  Student Count: 5,  Pct: 8.33
Grade: B+,  Credits: 4,  Student Count: 6,  Pct: 10
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1.67
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 5
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.67
Grade: F,  Credits: 4,  Student Count: 5,  Pct: 8.33
Grade: U,  Credits: 4,  Student Count: 1,  Pct: 1.67
Grade: W,  Credits: 4,  Student Count: 4,  Pct: 6.67
,,,
Course: ART 131  Student Total: 63  Credit Hours: 4  Grade Pts: 635.2  GPA Hours: 240  GPA: 2.65,,,
Grade: A,  Credits: 4,  Student Count: 15,  Pct: 23.81
Grade: A-,  Credits: 4,  Student Count: 7,  Pct: 11.11
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 11.11
Grade: B+,  Credits: 4,  Student Count: 6,  Pct: 9.52
Grade: B-,  Credits: 4,  Student Count: 6,  Pct: 9.52
Grade: C,  Credits: 4,  Student Count: 3,  Pct: 4.76
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 1.59
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 1.59
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 3.17
Grade: D+,  Credits: 4,  Student Count: 3,  Pct: 4.76
Grade: F,  Credits: 4,  Student Count: 9,  Pct: 14.29
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 3.17
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 1.59
,,,
Course: ART 204  Student Total: 30  Credit Hours: 3  Grade Pts: 249.9  GPA Hours: 87  GPA: 2.87,,,
Grade: A,  Credits: 3,  Student Count: 3,  Pct: 10
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 10
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 23.33
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 16.67
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 10
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 10
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 10
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.33
,,,
Course: ART 205  Student Total: 138  Credit Hours: 3  Grade Pts: 1024.2  GPA Hours: 393  GPA: 2.61,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 4.35
Grade: A-,  Credits: 3,  Student Count: 11,  Pct: 7.97
Grade: B,  Credits: 3,  Student Count: 30,  Pct: 21.74
Grade: B+,  Credits: 3,  Student Count: 20,  Pct: 14.49
Grade: B-,  Credits: 3,  Student Count: 16,  Pct: 11.59
Grade: C,  Credits: 3,  Student Count: 14,  Pct: 10.14
Grade: C+,  Credits: 3,  Student Count: 16,  Pct: 11.59
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 2.9
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 1.45
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: 2.17
Grade: F,  Credits: 3,  Student Count: 9,  Pct: 6.52
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 1.45
Grade: U,  Credits: 3,  Student Count: 1,  Pct: .72
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 2.9
,,,
Course: ART 206  Student Total: 30  Credit Hours: 3  Grade Pts: 270.9  GPA Hours: 87  GPA: 3.11,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 33.33
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 6.67
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 23.33
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 13.33
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.33
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 6.67
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 3.33
,,,
Course: ART 222  Student Total: 35  Credit Hours: 4  Grade Pts: 443.2  GPA Hours: 132  GPA: 3.36,,,
Grade: A,  Credits: 4,  Student Count: 16,  Pct: 45.71
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 14.29
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 8.57
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 2.86
Grade: B-,  Credits: 4,  Student Count: 2,  Pct: 5.71
