Grade Distribution By Course,,,
,,,
,,,
College of Agricultural Sci,,,
Agricultural Education,,,
,,,
Course: AED 235  Student Total: 14  Credit Hours: 2  Grade Pts: 95.8  GPA Hours: 26  GPA: 3.68,,,
Grade: A,  Credits: 2,  Student Count: 10,  Pct: 71.43
Grade: B+,  Credits: 2,  Student Count: 1,  Pct: 7.14
Grade: C+,  Credits: 2,  Student Count: 2,  Pct: 14.29
Grade: W,  Credits: 2,  Student Count: 1,  Pct: 7.14
,,,
Course: AG 111  Student Total: 51  Credit Hours: 3  Grade Pts: 513.3  GPA Hours: 153  GPA: 3.35,,,
Grade: A,  Credits: 3,  Student Count: 29,  Pct: 56.86
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 9.8
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 13.73
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.92
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.96
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 7.84
,,,
Course: AG 301  Student Total: 100  Credit Hours: 3  Grade Pts: 1026.6  GPA Hours: 288  GPA: 3.56,,,
Grade: A,  Credits: 3,  Student Count: 61,  Pct: 61
Grade: A-,  Credits: 3,  Student Count: 15,  Pct: 15
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 3
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 5
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 6
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 5
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 2
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1
,,,
Course: AG 311  Student Total: 99  Credit Hours: 3  Grade Pts: 944.1  GPA Hours: 276  GPA: 3.42,,,
Grade: A,  Credits: 3,  Student Count: 37,  Pct: 37.37
Grade: A-,  Credits: 3,  Student Count: 12,  Pct: 12.12
Grade: B,  Credits: 3,  Student Count: 17,  Pct: 17.17
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 9.09
Grade: B-,  Credits: 3,  Student Count: 12,  Pct: 12.12
Grade: C+,  Credits: 3,  Student Count: 4,  Pct: 4.04
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 1.01
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.01
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.01
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 5.05
,,,
Course: AG 321  Student Total: 59  Credit Hours: 3  Grade Pts: 512.4  GPA Hours: 159  GPA: 3.22,,,
Grade: A,  Credits: 3,  Student Count: 28,  Pct: 47.46
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 11.86
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 3.39
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 6.78
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 3.39
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 3.39
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 6.78
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 3.39
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 1.69
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 5.08
,,,
Course: AG 350  Student Total: 31  Credit Hours: 3  Grade Pts: 333.3  GPA Hours: 93  GPA: 3.58,,,
Grade: A,  Credits: 3,  Student Count: 23,  Pct: 74.19
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 6.45
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.23
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 3.23
,,,
Course: AG 351  Student Total: 65  Credit Hours: 3  Grade Pts: 688.2  GPA Hours: 192  GPA: 3.58,,,
Grade: A,  Credits: 3,  Student Count: 45,  Pct: 69.23
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 9.23
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 7.69
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 1.54
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 1.54
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 4.62
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 4.62
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 1.54
,,,
Course: AG 410  Student Total: 12  Credit Hours: Variable  Grade Pts: 260.7  GPA Hours: 68  GPA: 3.83,,,
Grade: F,  Credits: 1,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 3,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 4,  Student Count: 4,  Pct: 33.33
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 6,  Student Count: 1,  Pct: 8.33
Grade: A-,  Credits: 7,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 8,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 11,  Student Count: 1,  Pct: 8.33
Grade: A,  Credits: 12,  Student Count: 1,  Pct: 8.33
,,,
Course: AG 412  Student Total: 49  Credit Hours: 3  Grade Pts: 461.7  GPA Hours: 138  GPA: 3.35,,,
Grade: A,  Credits: 3,  Student Count: 28,  Pct: 57.14
Grade: A-,  Credits: 3,  Student Count: 6,  Pct: 12.24
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 4.08
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 4.08
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: D+,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 6.12
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.04
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 4.08
,,,
Course: AG 455  Student Total: 17  Credit Hours: 3  Grade Pts: 170.4  GPA Hours: 51  GPA: 3.34,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 58.82
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 5.88
,,,
Course: LEAD 242  Student Total: 29  Credit Hours: 3  Grade Pts: 315  GPA Hours: 84  GPA: 3.75,,,
Grade: A,  Credits: 3,  Student Count: 18,  Pct: 62.07
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 24.14
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 6.9
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.45
,,,
Course: LEAD 342  Student Total: 45  Credit Hours: 3  Grade Pts: 410.7  GPA Hours: 129  GPA: 3.18,,,
Grade: A,  Credits: 3,  Student Count: 17,  Pct: 37.78
Grade: A-,  Credits: 3,  Student Count: 7,  Pct: 15.56
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 11.11
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 8.89
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 8.89
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 8.89
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.22
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 2.22
,,,
Course: LEAD 430  Student Total: 22  Credit Hours: 3  Grade Pts: 230.1  GPA Hours: 60  GPA: 3.84,,,
Grade: A,  Credits: 3,  Student Count: 17,  Pct: 77.27
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 9.09
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 9.09
,,,
Course: LEAD 442  Student Total: 29  Credit Hours: 3  Grade Pts: 267.3  GPA Hours: 81  GPA: 3.3,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 27.59
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 17.24
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 17.24
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 13.79
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.45
Grade: C,  Credits: 3,  Student Count: 3,  Pct: 10.34
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 3.45
